cntry,netusoft,nwsptot,ppltrst,rdtot,tvtot,actrolga,bctprd,dclagr,dclaid,dclcrm,dclenv,dclmig,dclwlfr,dmcntov,euftf,gincdif,ginveco,lawobey,lrscale,polintr,stfeco,stfedu,stfgov,stfhlth,stflife,trstplc,trstplt,trstun,trstsci,imbgeco,aesfdrk,atchctr,atcherp,blgetmg,dscrgnd,dscrrlg,happy,health,inprdsc,rlgdgr,sclmeet,ccnthum,vteumbgb,impenva,impfreea,impfuna,impricha,impsafea,imptrada,ipadvnta,ipcrtiva,iplylfra,ipmodsta,ipudrsta,cntryfcz,origfcz,orig
Italia,5.0,1.0,4,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,8,3,7,8,8.0,8,8,5,5,5,8.0,5,2,10.0,5.0,2.0,0,0,8,1,2.0,5,3,3.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,14,1,Nacional
Eslovenia,5.0,1.0,9,7.0,7.0,4.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,1,4,10,7,9.0,10,10,10,10,8,8.0,5,1,7.0,7.0,2.0,0,0,10,1,4.0,10,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,21,1,Nacional
Finlandia,3.0,1.0,8,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,1,4.0,2.0,8,3,7,8,7.0,7,8,8,5,8,8.0,7,1,8.0,8.0,2.0,0,0,8,2,3.0,8,5,4.0,1.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,7,1,Nacional
Eslovenia,5.0,1.0,6,7.0,7.0,3.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,3,4.0,2.0,3,3,8,7,2.0,6,8,7,5,7,8.0,8,2,3.0,2.0,2.0,0,0,9,1,5.0,0,6,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,21,1,Nacional
Alemania,5.0,1.0,3,7.0,5.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,2,4.0,2.0,5,3,2,5,3.0,7,4,5,2,4,8.0,2,4,10.0,7.0,2.0,0,0,7,4,2.0,0,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,Nacional
Francia,5.0,2.0,6,0.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,8.0,2,4.0,2.0,2,1,8,7,5.0,5,8,5,5,9,8.0,8,2,10.0,7.0,1.0,0,0,8,2,4.0,8,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,3,Extranjero
Austria,3.0,1.0,5,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,5,2,6,3,6.0,6,4,7,6,5,8.0,6,2,7.0,4.0,2.0,0,0,6,2,4.0,3,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,0,1,Nacional
Croacia,1.0,1.0,5,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,5,4,5,9,3.0,10,10,8,0,0,8.0,1,1,8.0,5.0,2.0,0,0,5,5,2.0,6,2,2.0,1.0,5.0,1.0,5.0,4.0,2.0,1.0,5.0,5.0,2.0,5.0,4.0,30,3,Extranjero
Chipre,5.0,2.0,4,3.0,2.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,5,2,7,8,8.0,7,10,0,2,0,8.0,7,1,10.0,7.0,1.0,0,0,10,1,4.0,8,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,28,3,Extranjero
Inglaterra,5.0,1.0,5,7.0,6.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,10.0,4.0,1,4.0,2.0,5,3,3,5,3.0,3,8,8,4,6,8.0,5,2,10.0,7.0,2.0,0,0,8,2,4.0,1,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,9,1,Nacional
