netusoft,nwsptot,ppltrst,rdtot,tvtot,actrolga,dclcrm,dclmig,dmcntov,euftf,gincdif,ideo_fcz,ideo,imbgeco,stfgov,aesfdrk,atchctr,atcherp,dscrgnd,happy,rlgdgr,sclmeet,origfcz,iplylfra,impenva,impfreea,impricha,imptrada,ipmodsta,ipudrsta
5.0,1.0,7,2.0,2.0,2.0,1.0,3.0,8.0,3.0,1,2,Socialdemócrata,4,6.0,2,10.0,7.0,0,9,9,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,8,7.0,7.0,3.0,1.0,3.0,8.0,8.0,1,1,SocialComunista,10,0.0,2,4.0,5.0,1,9,0,5,1,3.0,1.0,1.0,4.0,2.0,1.0,2.0
3.0,1.0,5,7.0,7.0,2.0,1.0,3.0,8.0,5.0,2,1,SocialComunista,6,5.0,2,6.0,3.0,0,7,2,5,1,2.0,2.0,3.0,4.0,5.0,3.0,3.0
5.0,1.0,3,7.0,7.0,1.0,1.0,3.0,8.0,1.0,2,2,Socialdemócrata,4,0.0,2,8.0,6.0,0,6,4,2,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,6,7.0,4.0,2.0,1.0,3.0,10.0,1.0,1,3,ExtremaDerecha,0,3.0,1,10.0,7.0,0,8,8,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,7,7.0,7.0,1.0,1.0,3.0,8.0,8.0,2,1,SocialComunista,7,7.0,2,8.0,8.0,0,7,5,5,3,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,3.0,0,7.0,2.0,2.0,1.0,3.0,8.0,5.0,1,2,Socialdemócrata,8,4.0,3,10.0,7.0,0,8,3,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,3,2.0,5.0,2.0,1.0,3.0,8.0,5.0,1,2,Socialdemócrata,4,5.0,1,10.0,7.0,0,6,10,3,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,2,7.0,7.0,3.0,1.0,3.0,8.0,8.0,2,2,Socialdemócrata,10,2.0,3,5.0,8.0,0,7,5,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,8,6.0,6.0,2.0,1.0,3.0,8.0,5.0,1,2,Socialdemócrata,8,6.0,2,10.0,7.0,0,8,7,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,3.0,7,1.0,3.0,2.0,1.0,3.0,8.0,5.0,3,2,Socialdemócrata,7,6.0,2,10.0,7.0,0,7,3,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,3.0,2,7.0,0.0,2.0,1.0,3.0,8.0,3.0,2,2,Socialdemócrata,4,2.0,1,10.0,7.0,0,9,9,7,3,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,6,7.0,7.0,1.0,1.0,3.0,8.0,1.0,1,2,Socialdemócrata,5,2.0,2,8.0,2.0,0,8,9,7,1,2.0,2.0,1.0,6.0,1.0,4.0,3.0
5.0,1.0,8,7.0,7.0,2.0,1.0,3.0,8.0,5.0,4,2,Socialdemócrata,4,7.0,1,8.0,7.0,0,8,0,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,1,5.0,7.0,2.0,1.0,3.0,8.0,5.0,1,1,SocialComunista,3,4.0,3,10.0,7.0,0,8,2,2,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,4,4.0,7.0,2.0,1.0,3.0,8.0,8.0,2,2,Socialdemócrata,7,8.0,2,10.0,7.0,0,8,9,3,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,4,4.0,6.0,2.0,2.0,2.0,8.0,5.0,2,2,Socialdemócrata,9,8.0,3,10.0,7.0,0,8,8,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,1,0.0,3.0,2.0,1.0,3.0,8.0,0.0,2,1,SocialComunista,9,0.0,2,10.0,7.0,0,7,5,2,3,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,4,7.0,3.0,2.0,1.0,3.0,5.0,5.0,2,3,ExtremaDerecha,5,3.0,2,10.0,7.0,0,9,5,5,2,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,6,7.0,7.0,1.0,1.0,3.0,8.0,7.0,1,3,ExtremaDerecha,3,2.0,2,2.0,7.0,0,7,3,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,4,7.0,7.0,1.0,1.0,3.0,8.0,7.0,1,2,Socialdemócrata,7,4.0,2,8.0,8.0,0,9,0,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,0,7.0,7.0,1.0,1.0,3.0,8.0,5.0,1,1,SocialComunista,5,0.0,1,5.0,7.0,0,3,5,3,1,1.0,1.0,6.0,6.0,1.0,5.0,1.0
5.0,1.0,9,2.0,2.0,2.0,1.0,3.0,8.0,9.0,3,2,Socialdemócrata,8,7.0,1,10.0,7.0,0,10,3,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,8,7.0,7.0,4.0,1.0,3.0,8.0,9.0,1,1,SocialComunista,8,3.0,2,5.0,7.0,0,9,0,4,1,1.0,1.0,1.0,3.0,6.0,2.0,1.0
