lrscale
0
4
5
3
5
5
6
6
10
6
6
5
4
6
3
5
3
3
5
5
5
5
4
2
5
6
5
5
5
5
6
6
3
10
5
5
1
3
5
0
5
5
3
5
1
1
4
4
3
2
6
5
5
5
5
3
3
5
3
10
3
10
6
5
6
5
2
10
5
5
5
2
5
1
5
10
5
10
5
6
5
1
5
0
5
2
10
5
5
5
5
6
2
5
5
5
0
2
4
5
3
5
5
5
10
5
5
5
3
0
6
5
5
5
3
5
5
3
5
5
5
5
5
5
5
5
5
6
4
5
5
0
10
6
3
2
5
5
2
1
10
5
5
5
4
5
5
6
0
5
2
4
5
