cntry,netusoft,nwsptot,ppltrst,rdtot,tvtot,actrolga,bctprd,dclagr,dclaid,dclcrm,dclenv,dclmig,dclwlfr,dmcntov,euftf,gincdif,ginveco,lawobey,lrscale,polintr,stfeco,stfedu,stfgov,stfhlth,stflife,trstplc,trstplt,trstun,trstsci,imbgeco,aesfdrk,atchctr,atcherp,blgetmg,dscrgnd,dscrrlg,happy,health,inprdsc,rlgdgr,sclmeet,ccnthum,vteumbgb,impenva,impfreea,impfuna,impricha,impsafea,imptrada,ipadvnta,ipcrtiva,iplylfra,ipmodsta,ipudrsta,cntryfcz,origfcz,orig,ideo,ideo_fcz
Grecia,5.0,2.0,1,7.0,2.0,2.0,2,3.0,1.0,3.0,3.0,1.0,3.0,8.0,5.0,2,2.0,2.0,3,3,1,5,2.0,3,7,6,1,7,8.0,1,2,10.0,7.0,2.0,0,0,5,1,4.0,8,2,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,10,1,Nacional,SocialComunista,1
Alemania,2.0,1.0,8,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,10.0,2,4.0,2.0,2,1,7,4,7.0,5,10,10,4,4,8.0,8,2,10.0,10.0,2.0,0,0,9,3,6.0,9,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,Nacional,SocialComunista,1
Finlandia,5.0,3.0,8,3.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,1,4.0,2.0,6,3,4,9,5.0,8,8,9,4,8,8.0,8,1,10.0,7.0,2.0,0,0,7,3,4.0,5,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,Nacional,Socialdemócrata,2
Belgica,5.0,1.0,6,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,4,3,5,7,2.0,6,9,3,0,2,3.0,3,3,5.0,5.0,2.0,0,0,9,2,4.0,0,6,5.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,1,1,Nacional,Socialdemócrata,2
Croacia,5.0,1.0,5,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,5,4,3,4,0.0,6,7,8,0,7,6.0,5,2,7.0,5.0,2.0,0,0,7,1,3.0,4,6,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,30,2,Mixto,Socialdemócrata,2
Slovakia,2.0,1.0,0,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,2,4.0,2.0,5,2,2,5,9.0,0,9,10,8,7,8.0,5,3,10.0,7.0,2.0,0,0,9,3,1.0,7,6,3.0,1.0,2.0,3.0,4.0,6.0,1.0,2.0,6.0,3.0,1.0,1.0,2.0,24,1,Nacional,Socialdemócrata,2
Suecia,5.0,1.0,4,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,3,4.0,2.0,7,2,3,3,3.0,3,8,7,3,7,8.0,7,1,6.0,4.0,2.0,0,0,8,1,5.0,1,7,4.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,5.0,4.0,2.0,3.0,2.0,20,3,Extranjero,Socialdemócrata,2
Holanda,5.0,2.0,6,0.0,2.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,8.0,2,4.0,2.0,7,1,7,5,6.0,6,8,6,7,7,8.0,7,1,10.0,7.0,2.0,0,0,8,2,4.0,6,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,16,1,Nacional,Socialdemócrata,2
Polonia,5.0,1.0,7,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,3,4.0,2.0,5,2,4,8,7.0,3,9,8,4,7,8.0,6,3,8.0,7.0,2.0,0,0,9,2,4.0,6,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,18,1,Nacional,Socialdemócrata,2
Belgica,5.0,1.0,2,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,2.0,2,4.0,2.0,3,3,6,7,5.0,7,8,7,5,3,8.0,7,1,7.0,7.0,2.0,0,0,8,3,3.0,10,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,1,1,Nacional,SocialComunista,1
Irlanda,5.0,1.0,4,7.0,7.0,5.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,4,4.0,2.0,5,2,5,5,7.0,2,7,5,2,2,8.0,5,1,5.0,5.0,2.0,0,0,8,1,3.0,3,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,1,Nacional,Socialdemócrata,2
Chequia,5.0,1.0,4,7.0,2.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,5,4.0,2.0,5,3,7,5,7.0,6,7,7,5,5,8.0,5,2,10.0,7.0,2.0,0,0,9,2,4.0,0,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3,1,Nacional,Socialdemócrata,2
Alemania,5.0,1.0,0,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,4,4.0,2.0,5,3,5,2,3.0,4,3,5,4,9,10.0,6,2,4.0,3.0,2.0,0,0,3,3,0.0,0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,Nacional,Socialdemócrata,2
Irlanda,5.0,1.0,8,7.0,6.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,7,3,0,10,5.0,3,10,5,4,4,8.0,7,2,10.0,7.0,2.0,0,0,6,3,3.0,5,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,12,1,Nacional,Socialdemócrata,2
Suiza,5.0,1.0,8,7.0,0.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,8.0,4,4.0,2.0,5,1,6,10,9.0,8,9,9,7,6,8.0,8,1,10.0,7.0,2.0,0,0,8,1,5.0,4,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2,1,Nacional,Socialdemócrata,2
Alemania,5.0,5.0,3,6.0,6.0,2.0,1,2.0,1.0,1.0,3.0,3.0,3.0,8.0,5.0,1,2.0,3.0,2,2,2,2,5.0,3,4,8,3,8,8.0,8,3,10.0,7.0,2.0,0,0,6,2,4.0,0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,Nacional,SocialComunista,1
Italia,5.0,1.0,6,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,1,4.0,2.0,0,3,4,4,5.0,4,7,6,4,6,7.0,7,1,7.0,5.0,2.0,0,0,6,2,3.0,6,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,14,1,Nacional,ExtremaDerecha,3
Estonia,5.0,1.0,3,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,3.0,2,4.0,2.0,5,2,3,8,1.0,3,7,5,2,5,8.0,3,4,8.0,4.0,2.0,0,0,7,3,2.0,3,5,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,22,1,Nacional,Socialdemócrata,2
España,5.0,1.0,8,7.0,7.0,3.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,2,4.0,2.0,2,1,3,5,8.0,6,6,6,2,6,9.0,9,2,2.0,10.0,2.0,0,0,7,2,3.0,0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,6,1,Nacional,SocialComunista,1
Alemania,1.0,1.0,4,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,1,4.0,2.0,4,3,2,7,5.0,4,9,9,4,6,8.0,8,2,9.0,7.0,2.0,0,0,7,3,2.0,2,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,Nacional,Socialdemócrata,2
Francia,5.0,0.0,6,7.0,6.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,10.0,1,4.0,2.0,5,2,5,6,3.0,9,8,7,2,7,8.0,7,1,10.0,7.0,2.0,0,0,8,2,4.0,8,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,1,Nacional,Socialdemócrata,2
Alemania,5.0,0.0,7,3.0,5.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,1,4.0,2.0,3,3,6,7,6.0,8,8,7,5,7,8.0,7,3,10.0,7.0,2.0,0,0,8,1,4.0,10,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,Nacional,SocialComunista,1
Francia,5.0,2.0,5,1.0,2.0,2.0,2,3.0,1.0,3.0,3.0,3.0,3.0,8.0,5.0,2,4.0,1.0,6,3,3,2,5.0,3,6,8,5,8,8.0,5,3,10.0,7.0,2.0,0,0,8,3,4.0,2,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,1,Nacional,Socialdemócrata,2
Alemania,5.0,1.0,7,7.0,7.0,1.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,2,4.0,2.0,5,3,6,2,7.0,8,9,8,6,6,8.0,5,2,10.0,10.0,2.0,0,0,8,1,4.0,7,5,5.0,1.0,3.0,4.0,5.0,5.0,2.0,3.0,6.0,1.0,2.0,5.0,2.0,4,1,Nacional,Socialdemócrata,2
España,5.0,0.0,4,5.0,1.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,3,4,3,2,2.0,3,8,4,2,4,8.0,6,1,10.0,7.0,2.0,0,0,8,1,4.0,1,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,6,1,Nacional,SocialComunista,1
Israel,5.0,1.0,2,0.0,3.0,2.0,2,4.0,1.0,1.0,4.0,4.0,4.0,8.0,5.0,1,5.0,1.0,2,1,0,7,0.0,8,8,5,6,5,8.0,1,2,10.0,7.0,1.0,0,0,5,2,4.0,4,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,13,1,Nacional,SocialComunista,1
Inglaterra,5.0,1.0,8,7.0,7.0,1.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,1.0,2,4.0,2.0,7,3,4,5,3.0,5,6,7,5,7,6.0,6,2,9.0,6.0,2.0,0,0,6,2,0.0,9,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,9,3,Extranjero,Socialdemócrata,2
Noruega,5.0,5.0,7,2.0,6.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,2,4.0,2.0,6,2,9,7,7.0,7,9,4,4,7,8.0,5,1,10.0,7.0,2.0,0,0,9,1,4.0,0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,17,1,Nacional,Socialdemócrata,2
Alemania,5.0,1.0,8,7.0,7.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,3.0,2,4.0,2.0,3,2,7,4,3.0,3,8,7,2,3,5.0,6,2,4.0,4.0,2.0,0,0,7,3,3.0,2,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,Nacional,SocialComunista,1
Inglaterra,5.0,2.0,7,1.0,5.0,2.0,2,3.0,2.0,3.0,2.0,3.0,3.0,8.0,5.0,2,2.0,2.0,8,1,8,7,7.0,7,7,5,7,7,8.0,5,2,10.0,7.0,2.0,0,0,10,1,4.0,7,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,9,1,Nacional,ExtremaDerecha,3
Francia,5.0,1.0,0,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,8.0,2,4.0,2.0,5,3,4,5,4.0,8,7,7,5,5,8.0,5,2,10.0,7.0,2.0,0,0,8,4,4.0,4,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,8,1,Nacional,Socialdemócrata,2
Noruega,5.0,1.0,7,2.0,2.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,3.0,1,4.0,2.0,4,3,6,7,6.0,6,8,6,5,6,8.0,4,2,10.0,7.0,2.0,0,0,9,3,4.0,9,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,17,1,Nacional,Socialdemócrata,2
Inglaterra,5.0,1.0,8,7.0,7.0,3.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,8.0,1,4.0,2.0,3,1,0,1,0.0,1,7,3,1,6,8.0,10,2,4.0,5.0,2.0,1,0,9,2,4.0,0,5,4.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,9,1,Nacional,SocialComunista,1
Italia,3.0,1.0,5,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,3,3,5,6,5.0,6,7,7,3,5,8.0,6,2,6.0,3.0,2.0,0,0,7,2,2.0,2,5,3.0,1.0,2.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,14,1,Nacional,SocialComunista,1
Finlandia,5.0,1.0,3,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,1.0,2,4.0,2.0,6,4,2,8,0.0,8,6,7,0,2,8.0,4,2,8.0,6.0,2.0,0,0,6,2,0.0,4,2,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,Nacional,Socialdemócrata,2
Slovakia,5.0,1.0,6,7.0,4.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,10.0,1.0,1,4.0,2.0,8,2,5,4,3.0,2,7,2,1,6,8.0,0,1,10.0,7.0,2.0,0,0,8,2,1.0,8,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,24,1,Nacional,ExtremaDerecha,3
Holanda,5.0,1.0,7,7.0,7.0,1.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,8.0,2,4.0,2.0,1,1,6,5,7.0,5,7,7,7,8,8.0,7,2,8.0,8.0,1.0,0,0,7,2,3.0,5,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,16,3,Extranjero,SocialComunista,1
Chequia,5.0,3.0,0,7.0,2.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,1,4.0,2.0,5,4,3,5,4.0,3,7,5,3,4,8.0,8,3,10.0,7.0,2.0,0,0,8,1,4.0,3,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3,1,Nacional,Socialdemócrata,2
Chipre,5.0,0.0,3,2.0,5.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,1,4.0,2.0,5,3,5,4,5.0,3,7,5,5,3,8.0,4,1,10.0,7.0,2.0,0,0,6,3,4.0,10,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,28,1,Nacional,Socialdemócrata,2
Alemania,5.0,1.0,2,7.0,7.0,3.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,8.0,2,4.0,2.0,5,2,4,4,2.0,7,7,8,3,5,8.0,10,3,5.0,8.0,2.0,0,0,7,3,2.0,5,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,Nacional,Socialdemócrata,2
Chipre,5.0,0.0,8,6.0,6.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,1,4.0,2.0,6,4,6,9,6.0,8,8,7,5,7,8.0,8,2,10.0,7.0,2.0,0,0,8,2,4.0,7,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,28,1,Nacional,Socialdemócrata,2
Noruega,5.0,3.0,7,1.0,3.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,3,4.0,2.0,7,2,7,7,6.0,6,7,6,6,7,8.0,7,2,10.0,7.0,2.0,0,0,7,3,4.0,3,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,17,1,Nacional,Socialdemócrata,2
Noruega,5.0,3.0,2,7.0,0.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,3.0,2,4.0,2.0,5,3,7,8,2.0,10,7,4,2,3,8.0,4,1,10.0,7.0,1.0,0,0,9,1,4.0,9,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,17,3,Extranjero,Socialdemócrata,2
Holanda,5.0,1.0,6,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,1.0,1,4.0,2.0,5,3,2,3,2.0,7,8,6,0,7,8.0,5,2,8.0,2.0,2.0,0,0,8,2,2.0,9,7,3.0,1.0,2.0,1.0,1.0,6.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,16,1,Nacional,Socialdemócrata,2
Holanda,5.0,1.0,8,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,4,4.0,2.0,6,3,7,6,7.0,6,8,5,6,6,8.0,4,1,8.0,7.0,2.0,0,0,8,2,6.0,0,6,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,16,1,Nacional,Socialdemócrata,2
Chequia,5.0,0.0,1,5.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,1,4.0,2.0,3,3,3,7,4.0,7,6,3,3,5,8.0,3,3,10.0,7.0,2.0,0,0,8,3,4.0,2,2,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3,1,Nacional,SocialComunista,1
Grecia,5.0,1.0,4,4.0,7.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,8.0,2,4.0,2.0,6,3,4,6,8.0,4,8,9,7,6,8.0,7,2,10.0,7.0,2.0,0,0,8,2,4.0,9,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,10,1,Nacional,Socialdemócrata,2
Hungria,5.0,1.0,4,4.0,6.0,2.0,2,3.0,2.0,2.0,3.0,2.0,4.0,8.0,5.0,2,3.0,2.0,5,4,6,9,8.0,10,9,10,8,7,8.0,9,3,10.0,7.0,2.0,0,0,8,1,4.0,8,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,11,1,Nacional,Socialdemócrata,2
Inglaterra,5.0,0.0,1,0.0,3.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,0.0,2,4.0,2.0,2,2,1,1,0.0,0,7,3,0,1,8.0,9,2,10.0,7.0,2.0,0,0,7,2,4.0,5,2,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,9,3,Extranjero,SocialComunista,1
Eslovenia,5.0,1.0,4,7.0,3.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,2,4.0,2.0,0,3,4,3,3.0,6,10,9,5,8,8.0,5,2,10.0,7.0,2.0,0,0,9,2,6.0,5,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,21,2,Mixto,ExtremaDerecha,3
Lituania,5.0,1.0,6,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,1,4.0,2.0,8,3,2,5,2.0,1,4,1,0,2,8.0,3,2,2.0,7.0,2.0,0,0,7,2,1.0,3,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,33,1,Nacional,ExtremaDerecha,3
España,5.0,1.0,4,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,7.0,1,4.0,2.0,5,3,5,1,4.0,6,8,2,0,3,8.0,7,2,8.0,8.0,2.0,0,0,9,1,5.0,0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,6,1,Nacional,Socialdemócrata,2
Croacia,5.0,1.0,0,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,1,4.0,2.0,3,2,5,5,0.0,5,3,6,0,6,8.0,5,1,5.0,7.0,2.0,0,0,3,3,2.0,5,3,4.0,1.0,1.0,6.0,6.0,6.0,1.0,1.0,6.0,1.0,1.0,5.0,1.0,30,1,Nacional,SocialComunista,1
Alemania,5.0,1.0,9,2.0,2.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,9.0,3,4.0,2.0,5,2,7,3,7.0,6,10,8,8,7,8.0,8,1,10.0,7.0,2.0,0,0,10,2,4.0,3,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4,1,Nacional,Socialdemócrata,2
Inglaterra,5.0,1.0,8,7.0,7.0,4.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,9.0,1,4.0,2.0,2,2,3,5,3.0,7,9,4,2,5,8.0,8,2,5.0,7.0,2.0,0,0,9,1,5.0,0,4,5.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,4.0,1.0,1.0,2.0,1.0,9,1,Nacional,SocialComunista,1
Lituania,1.0,1.0,0,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,6.0,1,4.0,2.0,0,3,0,5,5.0,8,6,8,2,2,8.0,3,3,5.0,5.0,1.0,0,0,5,5,0.0,0,2,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,33,1,Nacional,ExtremaDerecha,3
